DFHG Author,LOFTS urn
ARCHEMACHUS EUBOEUS,urn:lofts:fhg.4.archemachus_euboeus
ARETADES CNIDIUS,urn:lofts:fhg.4.aretades_cnidius
ARETES DYRRACHINUS,urn:lofts:fhg.4.aretes_dyrrachinus
ARCHINUS,urn:lofts:fhg.4.archinus
ARCHITIMUS,urn:lofts:fhg.4.architimus
ARIAETHUS TEGEATA,urn:lofts:fhg.4.ariaethus_tegeata
ARISTAENETUS,urn:lofts:fhg.4.aristaenetus
ARISTEAS ARGIVUS,urn:lofts:fhg.4.aristeas_argivus
ARISTIDES MILESIUS,urn:lofts:fhg.4.aristides_milesius
ARISTIPPUS,urn:lofts:fhg.4.aristippus
ARISTO PELLAEUS,urn:lofts:fhg.4.aristo_pellaeus
ARISTOBULUS,urn:lofts:fhg.4.aristobulus
ARISTOCLES,urn:lofts:fhg.4.aristocles
ARISTOCRATES,urn:lofts:fhg.4.aristocrates
ARISTOCREON,urn:lofts:fhg.4.aristocreon
ARISTOCRITUS,urn:lofts:fhg.4.aristocritus
ARISTOMENES,urn:lofts:fhg.4.aristomenes
ARISTONICUS TARENTINUS,urn:lofts:fhg.4.aristonicus_tarentinus
ARISTONYMUS,urn:lofts:fhg.4.aristonymus
ARISTOPHANES BOEOTUS,urn:lofts:fhg.4.aristophanes_boeotus
ARMENIDAS,urn:lofts:fhg.4.armenidas
ARTEMIDORUS ASCALONITA,urn:lofts:fhg.4.artemidorus_ascalonita
ARTEMON CLAZOMENIUS,urn:lofts:fhg.4.artemon_clazomenius
ARTEMON PERGAMENUS,urn:lofts:fhg.4.artemon_pergamenus
ARTEMON CASSANDRENSIS,urn:lofts:fhg.4.artemon_cassandrensis
ASTYNOMUS,urn:lofts:fhg.4.astynomus
ATHANADAS,urn:lofts:fhg.4.athanadas
ATHENAEUS,urn:lofts:fhg.4.athenaeus
ATHENICON,urn:lofts:fhg.4.athenicon
ATHENOCLES,urn:lofts:fhg.4.athenocles
ATHENODORUS ERETRIENSIS,urn:lofts:fhg.4.athenodorus_eretriensis
AUGEAS,urn:lofts:fhg.4.augeas
AUTESION,urn:lofts:fhg.4.autesion
AUTOCHARIS,urn:lofts:fhg.4.autocharis
AUTOCRATES,urn:lofts:fhg.4.autocrates
BALAGER,urn:lofts:fhg.4.balager
BASILIS,urn:lofts:fhg.4.basilis
BATON SINOPENSIS,urn:lofts:fhg.4.baton_sinopensis
BION SOLENSIS,urn:lofts:fhg.4.bion_solensis
BOTRYAS MYNDIUS,urn:lofts:fhg.4.botryas_myndius
BRUTTIUS sive BRETTIUS,urn:lofts:fhg.4.bruttius_sive_brettius
BUTORIDES,urn:lofts:fhg.4.butorides
CAEMARO,urn:lofts:fhg.4.caemaro
CALLICRATES,urn:lofts:fhg.4.callicrates
CALLIDEMUS,urn:lofts:fhg.4.callidemus
CALLIPHANES,urn:lofts:fhg.4.calliphanes
CALLIPPUS CORINTHIUS,urn:lofts:fhg.4.callippus_corinthius
DOMITIUS CALLISTRATUS,urn:lofts:fhg.4.domitius_callistratus
CARYSTIUS PERGAMENUS,urn:lofts:fhg.4.carystius_pergamenus
CASSANDER SALAMINIUS,urn:lofts:fhg.4.cassander_salaminius
CERCIDAS MEGALOPOLITANUS,urn:lofts:fhg.4.cercidas_megalopolitanus
CHARICLES,urn:lofts:fhg.4.charicles
CHARON NAUCRATITES,urn:lofts:fhg.4.charon_naucratites
CHRESTODEMUS,urn:lofts:fhg.4.chrestodemus
CHRISTODORUS,urn:lofts:fhg.4.christodorus
CHRYSERMUS CORINTHIUS,urn:lofts:fhg.4.chrysermus_corinthius
CHRYSIPPUS,urn:lofts:fhg.4.chrysippus
CLAUDIUS IOLAUS,urn:lofts:fhg.4.claudius_iolaus
CLAUDIUS THEON,urn:lofts:fhg.4.claudius_theon
CLODIUS NEAPOLITANUS,urn:lofts:fhg.4.clodius_neapolitanus
CLEMENS,urn:lofts:fhg.4.clemens
CLEOBULUS,urn:lofts:fhg.4.cleobulus
CLEON MAGNESIUS,urn:lofts:fhg.4.cleon_magnesius
CLEON SYRACUSANUS,urn:lofts:fhg.4.cleon_syracusanus
CLINIAS,urn:lofts:fhg.4.clinias
CLEOPHANES,urn:lofts:fhg.4.cleophanes
CLEOPHORUS,urn:lofts:fhg.4.cleophorus
CLITONYMUS,urn:lofts:fhg.4.clitonymus
